filename,satisfiable,time,memory_MB
rand_20_1.cnf,True,0.1472,0.18
rand_20_10.cnf,True,0.1074,0.18
rand_20_2.cnf,True,0.0592,0.19
rand_20_3.cnf,True,0.2146,0.2
rand_20_4.cnf,True,0.0152,0.18
rand_20_5.cnf,True,0.0077,0.18
rand_20_6.cnf,True,0.2832,0.18
rand_20_7.cnf,False,0.3587,0.2
rand_20_8.cnf,True,0.0256,0.17
rand_20_9.cnf,True,0.0051,0.17
AVERAGE (no timeouts),90.0%,0.1224,0.18
